Username,Profile URL,GitHub ID,Year_Group,Public_Repositories,Lifetime_Commits
MrSMAK,https://github.com/MrSMAK,3213068,2013-01,11,31
ibntariq,https://github.com/ibntariq,3257206,2013-01,9,15
abdul-sami,https://github.com/abdul-sami,3232292,2013-01,8,1
Sufyanjamil1,https://github.com/Sufyanjamil1,3203296,2013-01,1,0
bond5611,https://github.com/bond5611,3178590,2013-01,4,1
tjanjua,https://github.com/tjanjua,3222712,2013-01,0,0
amirsattar,https://github.com/amirsattar,3282418,2013-01,2,2
syedsaif,https://github.com/syedsaif,3266653,2013-01,1,9
Jauhar,https://github.com/Jauhar,3434069,2013-01,0,0
gmkasmani,https://github.com/gmkasmani,3427568,2013-01,4,1
asherjawad,https://github.com/asherjawad,3187360,2013-01,17,47
to2f,https://github.com/to2f,3284610,2013-01,1,1
wkhan,https://github.com/wkhan,3439308,2013-01,1,1
aliahmed89,https://github.com/aliahmed89,3396750,2013-01,5,8
Farhanalam1,https://github.com/Farhanalam1,3263386,2013-01,1,0
salmanrazak,https://github.com/salmanrazak,3185372,2013-01,5,6
imranmali,https://github.com/imranmali,3178927,2013-01,8,100
wilsonghouri,https://github.com/wilsonghouri,3278874,2013-01,0,0
sadd0o,https://github.com/sadd0o,3164453,2013-01,14,9
Nabeelhassan,https://github.com/Nabeelhassan,3646709,2013-02,56,1292
kashifahmedkhan,https://github.com/kashifahmedkhan,3449702,2013-02,16,109
ArhanShahid,https://github.com/ArhanShahid,3617684,2013-02,38,298
engr-erum,https://github.com/engr-erum,3645358,2013-02,11,34
AbdussamadA,https://github.com/AbdussamadA,3611810,2013-02,9,46
tahamshahzad,https://github.com/tahamshahzad,3669057,2013-02,11,93
illahibux,https://github.com/illahibux,3724691,2013-02,2,0
devel0perx,https://github.com/devel0perx,3532533,2013-02,2,8
AdnanMansoor,https://github.com/AdnanMansoor,3457018,2013-02,2,0
khurshedmemon,https://github.com/khurshedmemon,3677143,2013-02,9,71
hamzaazad,https://github.com/hamzaazad,3539587,2013-02,2,0
HussainAkbar,https://github.com/HussainAkbar,3540859,2013-02,2,3
KashifMS,https://github.com/KashifMS,3481158,2013-02,5,3
aryservices,https://github.com/aryservices,3636895,2013-02,2,52
wraza,https://github.com/wraza,3714137,2013-02,0,0
SyedOsama8,https://github.com/SyedOsama8,3635462,2013-02,0,0
kamranhaider,https://github.com/kamranhaider,3443560,2013-02,7,14
striker543211,https://github.com/striker543211,3542661,2013-02,0,0
cloudhosting14,https://github.com/cloudhosting14,3726110,2013-02,1,0
ALTAMASH80,https://github.com/ALTAMASH80,3577323,2013-02,8,43
muhammadsheraz,https://github.com/muhammadsheraz,3529481,2013-02,20,80
mqpasta,https://github.com/mqpasta,3919093,2013-03,29,172
MuhammadHasan,https://github.com/MuhammadHasan,3851408,2013-03,16,33
KashifAhmed,https://github.com/KashifAhmed,3757668,2013-03,40,199
rameezusmani,https://github.com/rameezusmani,3861967,2013-03,7,91
thepetronics,https://github.com/thepetronics,3830753,2013-03,7,84
EXEIdeas,https://github.com/EXEIdeas,3936751,2013-03,10,34
